date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:47:54	157456/157456	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Jul%202023%2017:47:53%20GMT	https://morningstar.ventures/	D:/clonar%20pagina%20x/clonar%20pagina%20x/morningstar.ventures/index.html	(from )
13:47:54	89/89	---M-Z	200	added ('OK')	text/plain	date:Wed,%2026%20Jul%202023%2017:47:53%20GMT	https://morningstar.ventures/robots.txt		(from )
13:47:54	77949/77949	---M-Z	200	added ('OK')	text/css	etag:%22c5972b8f3e56f0322700312e0ca7acfb%22	https://global-uploads.webflow.com/6218b09ec1cd76c58f838521/css/morningstar-ventures.webflow.972afce30.min.css	D:/clonar%20pagina%20x/clonar%20pagina%20x/global-uploads.webflow.com/6218b09ec1cd76c58f838521/css/morningstar-ventures.webflow.972afce30.min.css	(from https://morningstar.ventures/)
13:47:54	2558/2558	---M--	200	added ('OK')	image/png	etag:%2220f04151d8f78daf6e4b04fe8d93a064%22	https://global-uploads.webflow.com/6218b09ec1cd76c58f838521/6218b26add781d1acc091b53_morningstar-favicon.png	D:/clonar%20pagina%20x/clonar%20pagina%20x/global-uploads.webflow.com/6218b09ec1cd76c58f838521/6218b26add781d1acc091b53_morningstar-favicon.png	(from https://morningstar.ventures/)
13:47:55	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2026%20Jul%202023%2017:47:55%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/clonar%20pagina%20x/clonar%20pagina%20x/www.googletagmanager.com/gtm.35445.delayed	(from https://morningstar.ventures/)
13:47:55	35881/35881	---M--	200	added ('OK')	image/png	etag:%226bd3f2d4aac866b97089ff5d46bcdaf6%22	https://global-uploads.webflow.com/6218b09ec1cd76c58f838521/6218b271a97939e943bcd154_morningstar-webclip.png	D:/clonar%20pagina%20x/clonar%20pagina%20x/global-uploads.webflow.com/6218b09ec1cd76c58f838521/6218b271a97939e943bcd154_morningstar-webclip.png	(from https://morningstar.ventures/)
13:47:55	688083/688083	---M-Z	200	added ('OK')	application/javascript	etag:W/%22a7fd3-2YiM4YeR6wujgMvH5gALswAHxXw%22	https://cdn.jsdelivr.net/gh/itsoffbrand/msv@0.0.7/offbrand-morningstar.iife.js	D:/clonar%20pagina%20x/clonar%20pagina%20x/cdn.jsdelivr.net/gh/itsoffbrand/msv@0.0.7/offbrand-morningstar.iife.js	(from https://morningstar.ventures/)
13:47:56	23122/23122	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a52-7l0c8IkTDtvDwGJJ3Yh02Lyvxx0%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-cmsfilter@1/cmsfilter.js	D:/clonar%20pagina%20x/clonar%20pagina%20x/cdn.jsdelivr.net/npm/@finsweet/attributes-cmsfilter@1/cmsfilter.js	(from https://morningstar.ventures/)
13:47:56	18440/18440	---M-Z	200	added ('OK')	application/javascript	etag:W/%224808-98jcUWHSC9JHe1jYw2HWpeOx6ko%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-cmsload@1/cmsload.js	D:/clonar%20pagina%20x/clonar%20pagina%20x/cdn.jsdelivr.net/npm/@finsweet/attributes-cmsload@1/cmsload.js	(from https://morningstar.ventures/)
13:47:56	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2026%20Jul%202023%2017:47:56%20GMT	https://morningstar.ventures/%22https://global-uploads.webflow.com/6218b09ec1cd766afc83852d/6218c0073d37f798f2348ac5_mstar%20twitter2.png%22	D:/clonar%20pagina%20x/clonar%20pagina%20x/morningstar.ventures/_https_/global-uploads.webflow.com/6218b09ec1cd766afc83852d/6218c0073d37f798f2348ac5_mstar%20twitter2.png_	(from https://morningstar.ventures/)
